CVE-1999-0199,CWE-252
CVE-1999-0731,NVD-CWE-Other
CVE-2002-2443,CWE-20
CVE-2005-10002,CWE-22
CVE-2006-10001,CWE-79
CVE-2006-3635,CWE-119
CVE-2006-5331,CWE-19
CVE-2007-10001,CWE-89
CVE-2007-10002,CWE-89
CVE-2007-10003,CWE-89
CVE-2007-6761,CWE-119
CVE-2007-6762,CWE-119
CVE-2008-10002,CWE-79
CVE-2008-10003,CWE-89
CVE-2008-10004,CWE-89
CVE-2008-1897,CWE-287
CVE-2008-5619,CWE-94
CVE-2008-7050,CWE-255
CVE-2008-7316,CWE-20
CVE-2009-10001,CWE-79
CVE-2009-10002,CWE-79
CVE-2009-10004,CWE-79
CVE-2009-1194,CWE-189
CVE-2009-3287,CWE-20
CVE-2009-3627,CWE-20
CVE-2009-5145,CWE-79
CVE-2010-0011,CWE-264
CVE-2010-10002,CWE-79
CVE-2010-10003,CWE-89
CVE-2010-10004,CWE-79
CVE-2010-10006,CWE-208
CVE-2010-10007,CWE-89
CVE-2010-10008,CWE-79
CVE-2010-10009,CWE-89
CVE-2010-10010,CWE-79
CVE-2010-1152,CWE-20
CVE-2010-1155,CWE-20
CVE-2010-1630,NVD-CWE-noinfo
CVE-2010-2060,NVD-CWE-Other
CVE-2010-2761,CWE-94
CVE-2010-2809,CWE-94
CVE-2010-3260,CWE-264
CVE-2010-3844,CWE-120
CVE-2010-3872,CWE-189
CVE-2010-4250,CWE-399
CVE-2010-4254,CWE-20
CVE-2010-4264,CWE-79
CVE-2010-4335,CWE-20
CVE-2010-4648,NVD-CWE-noinfo
CVE-2010-4650,CWE-119
CVE-2010-4802,CWE-20
CVE-2010-5312,CWE-79
CVE-2010-5313,CWE-362
CVE-2010-5327,CWE-264
CVE-2010-5328,CWE-20
CVE-2010-5329,CWE-399
CVE-2010-5331,CWE-193
CVE-2010-5332,CWE-119
CVE-2011-0006,CWE-264
CVE-2011-0469,CWE-94
CVE-2011-0530,CWE-119
CVE-2011-0716,CWE-399
CVE-2011-0766,CWE-310
CVE-2011-0991,CWE-399
CVE-2011-0992,CWE-399
CVE-2011-10001,CWE-89
CVE-2011-10002,CWE-89
CVE-2011-10003,CWE-89
CVE-2011-10004,CWE-434
CVE-2011-10006,CWE-79
CVE-2011-1007,CWE-255
CVE-2011-1008,CWE-264
CVE-2011-1019,NVD-CWE-noinfo
CVE-2011-1021,CWE-264
CVE-2011-1023,NVD-CWE-Other
CVE-2011-1078,CWE-200
CVE-2011-1079,CWE-20
CVE-2011-1080,CWE-20
CVE-2011-1160,CWE-200
CVE-2011-1180,CWE-787
CVE-2011-1182,NVD-CWE-noinfo
CVE-2011-1476,CWE-189
CVE-2011-1477,CWE-119
